table(i,j), i, j = -5.14541e+01, 1, 149
table(i,j), i, j = -5.14541e+01, 1, 150
table(i,j), i, j = -5.14541e+01, 1, 151
table(i,j), i, j = -5.14541e+01, 1, 152
table(i,j), i, j = -5.14541e+01, 1, 153
table(i,j), i, j = -5.14541e+01, 1, 154
table(i,j), i, j = -5.14541e+01, 1, 155
table(i,j), i, j = -5.14541e+01, 1, 156
table(i,j), i, j = -5.14541e+01, 1, 157
table(i,j), i, j = -5.14541e+01, 1, 158
table(i,j), i, j = -5.14541e+01, 1, 159
table(i,j), i, j = -5.14541e+01, 1, 160
table(i,j), i, j = 2.66519e+01, 2, 0
table(i,j), i, j = 2.66309e+01, 2, 1
table(i,j), i, j = 2.66089e+01, 2, 2
table(i,j), i, j = 2.65894e+01, 2, 3
table(i,j), i, j = 2.65708e+01, 2, 4
table(i,j), i, j = 2.65518e+01, 2, 5
table(i,j), i, j = 2.65366e+01, 2, 6
table(i,j), i, j = 2.65195e+01, 2, 7
table(i,j), i, j = 2.65048e+01, 2, 8
table(i,j), i, j = 2.64878e+01, 2, 9
table(i,j), i, j = 2.64575e+01, 2, 10
table(i,j), i, j = 2.64330e+01, 2, 11
table(i,j), i, j = 2.64105e+01, 2, 12
table(i,j), i, j = 2.63910e+01, 2, 13
table(i,j), i, j = 2.63714e+01, 2, 14
table(i,j), i, j = 2.63519e+01, 2, 15
table(i,j), i, j = 2.63323e+01, 2, 16
table(i,j), i, j = 2.63167e+01, 2, 17
table(i,j), i, j = 2.63020e+01, 2, 18
table(i,j), i, j = 2.62874e+01, 2, 19
table(i,j), i, j = 2.62717e+01, 2, 20
table(i,j), i, j = 2.62571e+01, 2, 21
table(i,j), i, j = 2.62444e+01, 2, 22
table(i,j), i, j = 2.62307e+01, 2, 23
table(i,j), i, j = 2.62209e+01, 2, 24
table(i,j), i, j = 2.62072e+01, 2, 25
table(i,j), i, j = 2.61965e+01, 2, 26
table(i,j), i, j = 2.61779e+01, 2, 27
table(i,j), i, j = 2.61545e+01, 2, 28
table(i,j), i, j = 2.61369e+01, 2, 29
table(i,j), i, j = 2.61232e+01, 2, 30
table(i,j), i, j = 2.61076e+01, 2, 31
table(i,j), i, j = 2.60919e+01, 2, 32
table(i,j), i, j = 2.60743e+01, 2, 33
table(i,j), i, j = 2.60548e+01, 2, 34
table(i,j), i, j = 2.60352e+01, 2, 35
table(i,j), i, j = 2.60176e+01, 2, 36
table(i,j), i, j = 2.59961e+01, 2, 37
table(i,j), i, j = 2.59805e+01, 2, 38
table(i,j), i, j = 2.59609e+01, 2, 39
table(i,j), i, j = 2.59473e+01, 2, 40
table(i,j), i, j = 2.59297e+01, 2, 41
table(i,j), i, j = 2.59140e+01, 2, 42
table(i,j), i, j = 2.59023e+01, 2, 43
table(i,j), i, j = 2.58808e+01, 2, 44
table(i,j), i, j = 2.58613e+01, 2, 45
table(i,j), i, j = 2.58339e+01, 2, 46
table(i,j), i, j = 2.58065e+01, 2, 47
table(i,j), i, j = 2.57831e+01, 2, 48
table(i,j), i, j = 2.57674e+01, 2, 49
table(i,j), i, j = 2.57440e+01, 2, 50
table(i,j), i, j = 2.57244e+01, 2, 51
table(i,j), i, j = 2.56971e+01, 2, 52
table(i,j), i, j = 2.56736e+01, 2, 53
table(i,j), i, j = 2.56501e+01, 2, 54
table(i,j), i, j = 2.56228e+01, 2, 55
table(i,j), i, j = 2.56032e+01, 2, 56
table(i,j), i, j = 2.55915e+01, 2, 57
table(i,j), i, j = 2.55485e+01, 2, 58
table(i,j), i, j = 2.55250e+01, 2, 59
table(i,j), i, j = 2.54938e+01, 2, 60
table(i,j), i, j = 2.54703e+01, 2, 61
table(i,j), i, j = 2.54468e+01, 2, 62
table(i,j), i, j = 2.54156e+01, 2, 63
table(i,j), i, j = 2.54078e+01, 2, 64
table(i,j), i, j = 2.53843e+01, 2, 65
table(i,j), i, j = 2.53530e+01, 2, 66
table(i,j), i, j = 2.53452e+01, 2, 67
table(i,j), i, j = 2.53217e+01, 2, 68
table(i,j), i, j = 2.53061e+01, 2, 69
table(i,j), i, j = 2.52788e+01, 2, 70
table(i,j), i, j = 2.52631e+01, 2, 71
table(i,j), i, j = 2.52475e+01, 2, 72
table(i,j), i, j = 2.52006e+01, 2, 73
table(i,j), i, j = 2.51849e+01, 2, 74
table(i,j), i, j = 2.51380e+01, 2, 75
table(i,j), i, j = 2.51224e+01, 2, 76
table(i,j), i, j = 2.51067e+01, 2, 77
table(i,j), i, j = 2.50911e+01, 2, 78
table(i,j), i, j = 2.50598e+01, 2, 79
table(i,j), i, j = 2.50442e+01, 2, 80
table(i,j), i, j = 2.50442e+01, 2, 81
table(i,j), i, j = 2.49972e+01, 2, 82
table(i,j), i, j = 2.49777e+01, 2, 83
table(i,j), i, j = 2.49464e+01, 2, 84
table(i,j), i, j = 2.49152e+01, 2, 85
table(i,j), i, j = 2.48526e+01, 2, 86
table(i,j), i, j = 2.48526e+01, 2, 87
table(i,j), i, j = 2.48213e+01, 2, 88
table(i,j), i, j = 2.47588e+01, 2, 89
table(i,j), i, j = 2.47588e+01, 2, 90
table(i,j), i, j = 2.47275e+01, 2, 91
table(i,j), i, j = 2.47275e+01, 2, 92
table(i,j), i, j = 2.47275e+01, 2, 93
table(i,j), i, j = 2.46962e+01, 2, 94
table(i,j), i, j = 2.46962e+01, 2, 95
table(i,j), i, j = 2.46454e+01, 2, 96
table(i,j), i, j = 2.46454e+01, 2, 97
table(i,j), i, j = 2.45829e+01, 2, 98
table(i,j), i, j = 2.45829e+01, 2, 99
table(i,j), i, j = 2.45203e+01, 2, 100
table(i,j), i, j = 2.44577e+01, 2, 101
table(i,j), i, j = 2.43952e+01, 2, 102
table(i,j), i, j = 2.42818e+01, 2, 103
table(i,j), i, j = 2.42818e+01, 2, 104
table(i,j), i, j = 2.42818e+01, 2, 105
table(i,j), i, j = 2.42818e+01, 2, 106
table(i,j), i, j = 2.41567e+01, 2, 107
table(i,j), i, j = 2.39808e+01, 2, 108
table(i,j), i, j = 2.39808e+01, 2, 109
table(i,j), i, j = 2.39808e+01, 2, 110
table(i,j), i, j = 2.39808e+01, 2, 111
table(i,j), i, j = 2.39808e+01, 2, 112
table(i,j), i, j = 2.39808e+01, 2, 113
table(i,j), i, j = 2.39808e+01, 2, 114
table(i,j), i, j = 2.36798e+01, 2, 115
table(i,j), i, j = 2.36798e+01, 2, 116
table(i,j), i, j = 2.36798e+01, 2, 117
table(i,j), i, j = 2.36798e+01, 2, 118
